action,priority,kpi,owner,topic,sentiment_score,predicted_satisfaction
Proactive delay notifications via SMS/app + automatic meal vouchers,CRITICAL,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.926,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,CRITICAL,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.8462,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.5957,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7063,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.0548,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6597,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.6305,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7351,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4588,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2427,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7926,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.3952,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7783,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7644,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.0991,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7862,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6055,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.3818,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7579,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.693,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7269,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5894,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4486,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7166,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7096,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2973,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7205,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2725,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.5426,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7304,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7215,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.6625,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5572,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7682,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.799,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.3337,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7082,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7308,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.6687,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.717,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.0772,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7549,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.34,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7345,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.611,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7096,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4489,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6711,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6805,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4976,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4767,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7828,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.3105,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5648,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.747,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7901,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.6834,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.47,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7866,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6795,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6594,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6294,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.5984,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.4753,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5023,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5038,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7311,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.1317,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6584,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4588,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.5844,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7896,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.3404,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.1842,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7213,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6127,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7237,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7717,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7391,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.197,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.4215,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.725,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6369,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.697,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5106,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7906,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7226,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4019,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4019,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7076,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.367,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.1814,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7449,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.128,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7026,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.0671,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.2698,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7474,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.3369,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7907,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.6476,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.374,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6539,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6042,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6366,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6997,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.639,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7522,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.3707,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.765,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.4486,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4932,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7997,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.6897,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.796,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7229,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4854,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.296,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4116,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7719,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.775,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4141,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.098,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2374,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7784,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7863,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.0644,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7319,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4196,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4215,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7127,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2091,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7634,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7992,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7351,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7759,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4754,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6808,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7447,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.3966,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.1615,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2023,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.0516,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4994,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.7885,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7666,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7646,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4094,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7993,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7002,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.658,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7759,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7269,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7531,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.2405,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.1154,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.7987,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.3561,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.5983,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.08,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6365,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.4028,Not Satisfied
"Customer experience training, crew feedback loop, recognition program",HIGH,"Crew satisfaction score, complaint-per-flight rate",HR & Inflight Services,Cabin Crew & Staff Behaviour,-0.4841,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.765,Not Satisfied
Collect structured feedback and escalate to relevant team,HIGH,Customer satisfaction score,Quality Assurance,Seat Comfort & Legroom,-0.7699,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6083,Not Satisfied
Proactive delay notifications via SMS/app + automatic meal vouchers,HIGH,"On-time departure rate, passenger rebooking speed",Operations & Ground Services,Flight Delays & Punctuality,-0.6648,Not Satisfied
"Real-time bag tracking in app, priority delivery SLA, compensation portal",HIGH,"Mishandled bag rate, claim resolution time",Ground Operations,Baggage & Luggage,-0.7702,Not Satisfied
